10769|4|46
13901|4|46
70275|4|46
30106|4|46
207421|5|27
207420|5|27
207422|5|27
207413|5|27
17203|5|16
19142|5|16
207412|5|16
13363|5|16
174370|5|16
207410|2|18
207407|2|18
2567|2|18
2567|2|21
207408|2|21
21737|2|21
21735|2|21
51513|2|21
2630|2|21
207409|2|21
13514|2|21
207417|5|35
207414|5|35
207418|5|35
207425|5|40
207416|5|40
207419|5|40
207415|5|40
207423|5|40
2567|5|40
207406|2|32
207411|2|32
207423|2|32
207424|2|32
40538|5|46
222057|5|54
230383|5|61
240841|5|74
234778|5|74
238608|5|69
26092|5|69
183520|5|72
151469|5|72
244866|5|77
244867|5|77
244868|5|77
244869|5|77
202537|2|47
249880|2|47
248267|2|45
248268|2|45
261720|2|50
261721|2|50
261722|2|50
268323|2|51
248268|2|51
13849|11|14
27607|11|21
290488|11|21
174225|11|21
48727|2|71
337731|2|73
373883|11|1605
374269|11|1633
377064|2|77
49285|2|78
15262|2|83
391665|4|1318
391665|4|1319
399977|4|1904
399978|4|1904
399979|4|1904
399980|4|1904
420656|2|95
